year,plot,plotLoc,AMFInoc,biochar,block,mass_8mm,mass_4mm,mass_2mm,mass_1mm,mass_0-5mm,mass_0-25mm,mass_fine,totalMass,perc_8mm,perc_4mm,perc_2mm,perc_1mm,perc_0-5mm,perc_0-25mm,perc_fine
2013,23,Ring,N,H,4,12.149,19.433,15.12,14.375,9.979,6.475,12.022,89.553,0.13566268,0.216999989,0.168838565,0.160519469,0.11143122,0.072303552,0.134244526
2013,24,Center,Y,H,4,9.566,16.305,15.735,15.8,11.215,7.287,14.767,90.675,0.105497656,0.179818031,0.173531844,0.17424869,0.123683485,0.080363937,0.162856355
2013,24,Ring,Y,H,4,5.966,15.467,15.286,14.986,11.216,7.261,13.084,83.266,0.071649893,0.185754089,0.183580333,0.179977422,0.134700838,0.08720246,0.157134965
2013,25,Center,Y,L,5,9.397,16.336,14.646,14.865,11.644,7.922,18.381,93.191,0.100835918,0.175295898,0.157161099,0.159511112,0.124947688,0.085008209,0.197240077
2013,25,Ring,Y,L,5,15.825,18.266,16.354,13.451,9.392,6.342,14.239,93.869,0.168586008,0.194590333,0.174221521,0.143295444,0.100054331,0.067562241,0.151690121
2013,26,Center,N,H,5,8.94,15.494,17.077,16.215,12.124,8.09,16.669,94.609,0.094494181,0.163768775,0.180500798,0.171389614,0.128148485,0.085509835,0.176188312
2013,26,Ring,N,H,5,5.897,16.044,15.945,15.981,11.833,7.779,14.612,88.091,0.066942139,0.182129843,0.181006005,0.181414673,0.134327003,0.08830641,0.165873926
2013,27,Center,N,L,5,22.03,18.382,11.595,10.812,8.024,5.778,12.214,88.835,0.247987843,0.206922947,0.130522879,0.121708786,0.090324759,0.065041932,0.137490854
2013,27,Ring,N,L,5,10.047,15.689,13.733,14.532,10.716,7.28,14.095,86.092,0.116700739,0.182235283,0.159515402,0.168796172,0.124471496,0.084560703,0.163720206
2013,28,Center,Y,H,5,17.771,13.727,13.692,13.736,10.887,7.27,14.625,91.708,0.193778078,0.149681598,0.149299952,0.149779736,0.118713744,0.079273346,0.159473546
2013,28,Ring,Y,H,5,15.346,19.831,13.403,17.78,13.016,7.846,12.287,99.509,0.154217206,0.199288507,0.134691334,0.178677306,0.130802239,0.078847139,0.123476268
2013,29,Center,Y,N,5,18.184,10.669,12.862,12.934,9.868,6.604,13.757,84.878,0.214236905,0.125698061,0.151535145,0.152383421,0.116260986,0.077805792,0.162079691
