X746	X191	X20	X540	X277	X777	X28	X702	X53	X89	X56	X302	X75	X147	X423	X404	X182	X194	X45	X96	X169	X416	X148	X46	X203	X92	X357	X44	X199	X123	X701	X762	X17	X754	X581	X97	X662	X361	X637	X284	X195	X91	X415	X126	X234	X133	X542	X64	X205	X27	X98	X545	X497	X514	X141	X376	X504	X374	X420	X257	X693	X358	X690	X1	X680	X322	X705	X719	X745	X707	X706	X760	X767	X67	X174	X202	X87	X12	X38	X422	X40	X86	X691	X587	X150	X178	X30	X434	X654	X185	X172	X109	X47	X733	X445	X135	X519	X394	X58	X55	X217	X688	X245	X328	X642	X15	X332	X166	X81	X656	X37	X157	X175	X66	X678	X572	X740	X734	X73	X143	X8	X488	X421	X451	X80	X493	X10	X137	X52	X198	X187	X122	X667	X111	X744	X5	X120	X69	X285	X560	X505	X620	X13	X377	X176	X105	X651	X168	X145	X68	X671	X437	X119	X683	X742	X54	X681	X673	X262	X312	X522	X607	X290	X703	X65	X764	X293	X619	X769	X442	X23	X88	X39	X616	X739	X432	X72	X639	X121	X235	X435	X42	X93	X598	X173	X732	X11	X771	X84	X426	X193	X201	X186	X99	X76	X489	X31	X324	X29	X755
21	0	6	414	2	0	0	0	0	18	0	33	0	0	0	0	0	0	0	27	4	0	0	5	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	8	0	42	0	13	1	100	0	162	37	5	7	5	31	1	0	72	34	72	0	7	0	7718	0	16	3	0	0	0	0	0	0	37	256	1	9	4647	10	0	416	17	0	2	0	0	5	0	0	0	13	0	0	0	2	60	1	0	0	111	3	0	8	11	0	645	2	6	42	0	189	10	12	79	1	4	0	2	109	1	2498	3	5	4	101	2	1281	16	53	17	12	63	3	93	2	479	4	13	1	0	1	0	148	0	0	36	0	0	30	66	3	0	0	0	0	9	0	0	5	7	0	0	0	0	10	0	0	0	1	1	245	11	25	1	0	0	17	0	0	2	0	8	3	0	3	0	322	0	13	0	0	0	1	8	21	0	50	0	243	0
22	0	3	159	3	0	0	2	0	22	0	234	0	0	0	0	0	0	0	192	43	0	0	19	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	65	2	56	1	28	0	121	0	215	62	2	0	1	39	1	0	0	4	3	0	6	0	8812	1	4	2	0	1	0	0	0	0	16	45	3	27	634	36	0	122	14	0	0	4	0	4	0	0	0	2	59	126	0	1	17	0	0	0	114	6	0	3	3	1	430	0	6	23	1	167	12	30	70	2	3	3	0	114	0	2831	2	8	2	100	3	750	28	62	18	8	22	2	44	0	1009	12	46	3	0	0	0	221	0	0	17	0	0	1	45	0	0	0	0	0	39	0	0	0	0	0	0	1	0	4	0	1	1	0	2	363	10	80	0	0	0	7	0	12	2	64	357	9	0	0	0	260	0	41	0	14	0	0	16	10	0	218	4	1484	0
23	0	8	1084	2	0	0	184	0	16	0	0	0	0	70	68	0	0	0	43	16	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	105	0	0	0	0	0	0	0	0	5	6	4	122	0	2126	20	1	3	3	14	7	0	90	72	163	0	1	0	4856	6	5	2	0	0	0	0	0	0	45	1	0	2	2292	8	0	113	34	0	2	0	0	76	1	0	0	31	0	77	0	2	81	0	0	1	194	7	0	4	1	1	949	3	5	65	0	120	0	0	53	1	0	1	3	156	1	2089	2	1	2	0	0	878	0	62	2	14	15	0	21	0	1804	12	72	2	2	0	0	485	0	0	21	0	0	3	59	4	0	0	0	0	62	0	0	4	5	0	0	0	0	0	1	3	1	0	4	849	27	63	0	0	0	6	1	12	1	0	39	25	2	9	1	914	0	73	4	7	1	22	1	113	1	417	0	13	0
24	0	9	803	2	0	0	96	0	15	0	0	0	0	1	0	0	0	0	56	11	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	89	0	888	35	2	2	2	17	3	0	1	1	1	0	0	0	4781	2	5	1	0	1	0	0	1	0	3	1	0	10	743	5	0	40	3	0	0	0	0	60	0	0	0	0	1	6	0	1	34	0	0	4	90	4	0	1	1	0	426	3	4	68	1	30	0	0	38	1	3	1	2	64	3	1849	2	3	2	0	0	402	0	31	5	9	17	0	26	2	890	9	53	0	0	0	0	214	0	0	3	1	0	10	30	0	0	0	0	0	35	0	0	1	0	0	0	0	0	0	0	0	3	0	2	691	28	148	0	0	0	103	0	4	0	0	17	0	1	1	0	533	0	39	0	7	0	0	28	75	4	385	0	216	0
25	0	2	300	0	0	0	10	0	476	0	63	0	0	0	0	0	0	0	230	38	15	10	2	0	0	8	1	114	0	9	0	0	132	0	0	5	0	0	0	0	0	1	0	0	0	2	0	79	14	567	26	0	1	2	10	1	0	0	0	0	1	1	0	6230	0	1	0	0	0	0	0	0	0	7	5	1	25	523	2	0	16	5	0	1	37	0	817	1	0	0	0	11	9	0	0	8	0	0	2	63	3	1	0	0	0	349	0	0	60	0	54	0	0	25	0	2	0	0	27	77	2032	0	3	1	0	0	381	0	13	3	7	13	2	8	0	929	3	47	0	0	0	1	269	0	0	38	0	19	5	51	2	0	0	0	0	53	0	0	0	0	0	1	2	0	39	0	5	0	1	1	412	24	156	1	0	0	9	0	0	57	0	352	12	0	3	0	345	0	11	3	3	0	0	65	23	1	289	0	284	1
26	0	0	86	0	0	0	9	0	26	0	85	0	0	0	0	0	0	0	114	8	2	0	0	0	0	35	3	40	1	6	0	0	36	0	0	4	0	0	0	0	0	0	0	0	4	1	1	16	0	32	10	0	0	1	4	0	0	0	0	0	0	1	0	1726	1	1	0	0	0	0	0	0	0	0	10	0	1	234	8	0	20	0	0	0	2	0	32	0	0	0	0	0	0	0	0	0	0	0	0	40	3	0	2	1	0	690	1	9	31	0	121	0	0	19	1	0	0	0	4	2	654	1	0	0	0	0	716	0	66	5	1	6	0	12	0	2010	23	49	2	0	2	0	427	0	0	0	0	0	0	2	0	0	0	1	0	50	1	0	4	2	0	0	4	0	1	0	1	0	0	0	60	3	38	0	0	0	0	0	0	0	0	10	27	0	0	0	231	0	36	0	5	0	2	36	27	1	93	0	51	0
27	0	2	341	1	0	0	0	0	48	0	0	0	0	0	0	0	0	0	85	21	2	4	2	2	0	2	0	0	20	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	1	0	0	95	0	170	39	3	0	2	24	2	0	0	0	0	0	7	0	8323	0	2	0	0	0	1	0	0	0	1	0	30	51	1301	1	0	5	0	0	3	0	0	83	0	0	0	0	1	1	0	1	12	1	0	30	41	2	0	0	0	0	217	0	0	2	0	30	0	0	11	0	0	0	0	37	0	2925	2	2	0	0	0	156	1	10	7	6	1	0	9	0	555	5	30	3	0	0	0	192	0	0	3	0	0	0	1	0	0	0	0	0	29	0	0	0	0	0	0	0	0	8	0	0	0	0	0	92	20	165	1	0	0	0	0	0	3	0	34	0	0	0	0	192	0	8	0	3	0	0	35	20	3	241	0	172	0
28	0	1	73	1	0	0	0	1	306	0	0	0	0	0	0	0	0	0	171	44	0	6	18	7	0	0	0	7	1	0	0	0	63	0	0	25	0	0	0	0	0	0	0	0	2	0	0	44	4	94	15	2	0	1	13	2	0	0	0	0	0	5	0	3406	0	3	0	0	0	0	0	0	0	1	1	7	56	609	1	0	4	0	0	0	0	0	6	0	0	0	0	0	2	0	0	3	3	0	148	33	4	0	1	2	0	506	1	2	1	0	10	0	0	20	0	0	0	0	16	0	1428	0	0	1	2	0	382	0	17	1	2	5	0	8	0	1387	17	32	3	0	2	0	301	0	1	8	0	0	0	23	3	0	0	0	1	57	0	0	1	0	0	0	1	0	1	0	2	2	0	0	235	4	70	1	0	0	8	0	0	0	0	12	56	0	1	0	411	0	15	5	4	0	0	20	6	0	428	0	19	1
29	0	10	344	5	0	0	5	0	50	0	1	0	0	0	0	0	0	0	106	1	18	0	15	1	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	3	9	9	1	149	0	204	52	8	4	3	39	1	0	0	0	0	2	5	4	9607	0	5	0	2	2	0	0	0	0	8	2	5	31	769	0	0	11	0	0	1	6	0	231	2	0	0	0	0	0	0	2	9	5	0	269	207	9	0	7	2	0	1229	1	14	11	1	322	0	1	195	5	1	0	2	188	0	3295	6	3	5	0	0	1194	0	88	10	15	28	1	48	0	3534	34	104	13	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	3	4	1	0	4	0	0	0	2	0	0	0	360	2	40	1	0	0	532	0	0	0	0	32	2	1	5	0	294	0	12	0	4	0	0	1	35	0	5	0	282	0
30	0	6	479	1	0	0	39	0	122	0	1	0	0	4	0	0	0	0	199	30	25	0	27	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	4	1	0	24	0	251	8	0	0	0	6	4	0	0	0	0	3	2	2	2655	0	2	1	0	1	0	0	1	0	8	3	4	73	1239	1	0	43	7	0	3	0	0	235	0	0	0	0	0	4	1	3	13	7	0	559	98	11	0	5	5	0	1010	2	12	4	0	271	0	0	35	0	2	0	2	28	0	921	2	4	4	1	0	1170	0	65	3	9	23	0	11	0	2646	23	55	3	1	0	0	19	0	0	1	0	0	0	3	0	0	0	0	0	2	0	3	3	1	2	3	6	0	0	0	4	0	0	2	542	16	146	0	0	0	1	0	0	0	0	23	2	0	0	0	132	1	4	0	7	12	0	104	35	2	271	0	133	0
